Load #,Origin,Destination,PU Date,Rate,Weight \ pallet count \ FT,Broker
F061102***,"Novato, CA","JERSEY city, NJ",6/11 @1500-1700,"$3,600.00",8plt/ 8400 Lb,
XCF3QF,"Union City, CA","Kearny, NJ",6/11/2021,"$8,500.00","26 plt / 32,275 lb soup stock concentrat",XCF QF
425628***,"Union City, CA","Palmyra, PA",6/11 @0800-1700,$300.00,"17plts/ 10,591 Lb",
2A35589***,"Modesto, CA","Conyers, GA",06/09/2021 11:00,"$6,000.00","24 plt / 16,717 lb 40x52x3 ft",
36-FZH-GHQ,"RENO, NV","Searcy, AR*** Villa Rica, GA",6/9/2021 @8-3:30PM,"$4,800.00","9 Pallets  3,600 lbs (AR) 14 Pallets 5,8",FZH GHQ
31479-90515****,"Orland, CA","PORT ARTHUR, TX",6/10/2021,"$5,700.00","16 plt/ 35,000 lb olives",
03-3783080***,"GILROY, CA","GRAND PRAIRIE, TX",6/11 @1300,"$4,700.00","5plt/ 5,520 lb",
6393559***,"SALINAS, CA","LUBBOCK, TX",6/12 @0900,"$5,000.00","1293pcs/ 20,289 Lb",
6665804***,"Salinas, CA","Aurora, CO",6/11/2021 @12,"$4,000.00","20,989lb food ingredients",
2443819 ***,"Visalia, CA","Greencastle, PA",6/15/2021 12:00,"$7,500.00","23,188 lb pet food",
23631654***,"Oakland, CA","Smyrna, DE",6/14 @1200,"$7,800.00","23plt/ 11,109 Lb",
7291208578 ***,"SANTA CRUZ, CA","YORK, PA",6/16/2021 13:00,"$10,500.00","37 pcs / 32,800 lb Protein",
498248***,"Hollister, CA","Wilmington, MA",6/15/2021 11-4:00 p.,"$8,300.00","8 plt/ 7,900 lb wood shavings",
17363805 ***,"Visalia, CA","Breinigsville, PA",6/15 @1500,"$7,700.00","21plt/16,004 Lb",
44943328,MODESTO CA,CARNEYS POINT NJ,6/16 @1300,"$9,300.00","24plt/ 3,504 Lb",
SL209355268,"SPARKS, NV","HAGERSTOWN, MD",6/16 @12-1800,"$7,700.00","11 plt/ 14,039 Lb",
44765274***,SPARKS NV,MONROVIA MD,6/16/2021 15:00,"$7,000.00","14 plt/ 10,416 lb",
#0345514,BALLICO CA,DUBOIS PA,6/16/2021 10-14:00,"$7,200.00","21 plt/ 40,000 lb",
7747436,"Millbrae, CA Mt View, CA","Souderton, PA*** Lyndhurst, NJ",6/17 @1500,"$9,000.00","4 Cold box/ 9,000 Lb",
JAEA8W,Union City CA,Totowa NJ*** Newark NJ*** Laurel MD,6/17 @0800-1500,"$9,000.00","9plt/ 11,000 Lb",JAEA W
#0519065,RENO NV,"LOGAN TOWNSHIP, NJ",6/15 @1400,"$8,200.00","13plt/ 7,460 Lb",
590372,"Sparks, NV","Uxbridge, MA",6/17/2021,"$7,800.00","15 plt/8,300 lb inflatable boats",
342478,"American Canyon, CA","North Bergen, NJ",6/16 @1400,"$9,289.00","20plt/ 44,376",
1046780,"REEDLEY, CA","SANDWICH, IL HARRISONBURG, VA",6/17 @1400,"$8,200.00","32 feet/ 12,500 Lb VA 2 machineries and ",
1046770,"GILROY, CA","HUNT VALLEY, MD",6/18 @0800,"$7,800.00","20plt/ 19,989 Lb",
Rostik,"Sacramento, CA",NJ,nan,?,1 crate,Rostik
1006207,"WINDSOR, CA","ELIZABETH, NJ",6/18 @1500,"$8,600.00","22plt/ 39,795 Lb",
HAWB#:497757,"SAN JOSE, CA","PISCATAWAY, NJ",6/18 @4-6pm,"$8,000.00",18feet --14plt/(40/29/42)  6500lb,HAWB :
9400004355,"S SAN FRANCISCO, CA","Sharon Hill, PA KEARNY, NJ",6/18/2021 13:00-17:0,"$9,100.00","35,000 lb 50-60plt",
342715,"American Canyon, CA","North Bergen, NJ",6/17 @1400,"$8,689.00","7plt/ 14,400",
15135668,FIREBAUGH CA,INDEPENDENCE MO,6/15/2021 13:00,"$3,024.44","26plt/ 18,170 spices",
M063078,CARUTHERS CA,YORKTOWN IN,6/17/2021 13:00,"$6,500.00","30 plt 23,086 lb raisins",
117748,SPARKS NV,MONROVIA MD,6/24 @1030,$350.00,"3,098 Lb",
15135959,FIREBAUGH CA,INDEPENDENCE MO,6/23/2021 13:00,"$3,024.44","18,170 lb spices",
15135957,FIREBAUGH CA,INDEPENDENCE MO,6/22/2021 13:00,"$3,024.44","18,170 lb spices",
544912,TRACY CA,GLOUCESTER MA,6/22/2021 17:00,"$8,500.00","16plt/ 12,000  plantfood",
1046841,"VACAVILLE, CA","TAYLOR, PA",6/23/2021 10:00,"$8,000.00","56plts/ 26,800 lb",
#0957687,STOCKTON CA,GREENCASTLE PA,6/23/2021 10:00,"$8,000.00","25 plt/ 8,687 lb",
44851099,RICHMOND CA,NAZARETH PA,6/24@0600-1600,"$8,200.00","17plt/ 29,629lb",
CAT325288,"VISALIA,CA","NEW HOLLAND, PA",6/24 @1000,"$8,500.00","25plt/ 34,000",CAT
1046471***,"RICHVALE, CA","BLOOMFIELD, CT",6/23/2021 8-5:00,"$7,700.00","24 plt 13,400 lb",
28897,"South San Francisco, CA","Kenosha, WI Cherry Hill, NJ***",6/23 @by1300,"$9,350.00",12plt/ 16419 Lb,
2451882,"Visalia, CA","Breinigsville, PA Dayton, NJ",6/24/2021 15:00,"$8,500.00","23,891 lb pet food",
SL209389152,"RENO, NV","SPARKS GLENCOE, MD",6/24/2021 8-16:00,7700 +50,"18plt/ 9,900 lb",
#0157882,"NAPA, CA",BROOKLYN NY,6/24 @by4pm,"$10,000.00","18plt/ 34,000 Lb",
15136793***,FIREBAUGH CA,INDEPENDENCE MO,6/25/2021 13:00,"$3,400.00","26plt/ 18,170 lb spices",
15136254,FIREBAUGH CA,INDEPENDENCE MO,6/24/2021 13:00,"$3,024.44","26plt/ 18,170 spices",
7730028293,"HOPLAND, CA","MADISON, MS",6/24 @1200,"$7,200.00","14plt / 28,690Lb wine",
1046994,"FRESNO, CA","FOUNTAIN INN, SC",6/24/2021 @12:00:00,"$7,500.00","14 plt / 8,350 lb",
MX7XP7,Union City CA,Conley GA*** Montezuma GA,6/25 @0800,"$6,500.00","1/4plt/ 7,785 Lb",MX XP
71782,"Tracy, CA,","Warner Robins, GA",6/24 @by2pm,"$6,000.00","13plt/ 8,730lb 48x40x85",
Rostik,"Sacramento, CA",GA,nan,"$1,200.00",2 crate,Rostik
779118,HAYWARD CA,VALLEY AL,6/24 @1300,"$6,700.00","9crates/ 8,695 Lb",
8170260,"Lathrop, CA","Jacksonville, FL",6/25 @0600,"$7,500.00","30plt/ 42,500 lb",
2H06502,"W Sacramento, CA","Fort Worth, TX",6/24/2021 @2pm,"$5,000.00",15 plt/ 27819lb (Coke Product) don't hav,
23730123,"Reno, NV","Palestine, TX",6/25@3:30pm,"$4,500.00","2,310 lbs",
923621,HAYWARD CA,ROUND ROCK TX,6/25 @0800-1600,"$3,750.00","3 crates + 1 ladder /26 feet / 6,000 lb",
10098242,"Fairfield, CA","Newark, NJ",9/29 @1200,$150.00,"beer 32,540 Lb",New
2454388***,"Visalia, CA","Greencastle, PA",6/28/2021 14:00,"$7,900.00","Pet Food : 28 plt / 23,188.00 lbs",
